SnapshotAsOfET,DataBarDate,SnapshotSchemaVersion,ScanSession,ScanAfterOpen,SnapshotTimingSource,Ticker,SignalEngineVersion,TradePlanVersion,PlanMeasurementVersion,ConfigHash,UniverseVersion,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,OrderType,PlanSelectedLeg,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason,PriorityPreTheme,PriorityPostTheme,ThemeScore,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,PreGapPct,PreGapStatus,MarketBias,VixLevel,SpyGapPct,QqqGapPct,BreadthPct,SmallCapWeak,V13MeasurementVersion,V13MeasurementStatus,V13Filled,V13FillDate,V13FillPrice,V13ExitDate,V13ExitPrice,V13ExitReason,V13Ambiguous,V13RLower,V13RUpper,V13MarkR,V13MFER,V13MAER,D20TotalReturnPct,D40TotalReturnPct,D60TotalReturnPct,V13DividendsPerInitialShare,V13EndingSplitFactor,V13BarsObserved,V13EntryWindowComplete,V13EntryWindowEndDate,V13LifecycleEndDate,V13MeasurementReason
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,DASH,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma60,170.25,,buy_limit_zone,healthy_pullback,ma60,170.25,174.29,170.25,174.29,158.12,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma60_anchor,7.0,10.0,3.0,0.0,0.0,3.86,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,24.24,,,0.0,1.0,25,1,2026-07-29,2026-07-29,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,TRI,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,86.78,,buy_limit_zone,consolidation_dip,ma60,86.78,88.96,86.78,88.96,80.23,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,10.0,10.0,0.0,0.0,0.0,6.03,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,11.78,,,0.0,1.0,25,1,2026-07-31,2026-07-31,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,TTWO,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,231.29,,buy_limit_zone,consolidation_dip,ma60,231.29,234.53,231.29,234.53,221.56,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,10.0,10.0,0.0,0.0,0.0,2.5,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,-4.28,,,0.0,1.0,25,1,2026-07-31,2026-07-31,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,LIN,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,512.02,,buy_limit_zone,consolidation_dip,ma60,512.02,517.58,512.02,517.58,495.34,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,10.0,10.0,0.0,0.0,0.0,1.33,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,completed,1,2026-07-27,513.33,2026-07-31,474.98,gap_through_stop,0,-2.1317,-2.1317,,0.4819,-2.582,-3.35,,,0.0,1.0,25,1,2026-07-31,2026-07-31,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,ADSK,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,207.31,,buy_limit_zone,healthy_pullback,ma20,207.31,211.2,207.31,211.2,195.65,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,3.87,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,12.62,,,0.0,1.0,25,1,2026-07-29,2026-07-29,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,ORLY,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,87.13,,buy_limit_zone,healthy_pullback,ma20,87.13,88.58,87.13,88.58,82.77,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,1.8,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,open,1,2026-07-27,88.25,,,,0,,,0.0456,1.0712,-0.3869,0.1,,,0.0,1.0,25,1,2026-07-29,,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,AEP,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,134.96,,buy_limit_zone,healthy_pullback,ma20,134.96,136.99,134.96,136.99,128.86,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,1.39,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,completed,1,2026-07-27,135.18,2026-07-30,128.72,gap_through_stop,0,-1.0222,-1.0222,,0.1282,-1.2437,-7.98,,,0.0,1.0,25,1,2026-07-29,2026-07-30,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,ADBE,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,220.89,,buy_limit_zone,healthy_pullback,ma20,220.89,225.83,220.89,225.83,206.06,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,8.4,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,16.2,,,0.0,1.0,25,1,2026-07-29,2026-07-29,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,ISRG,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,oversold_bounce,oversold_bounce,7.0,previous_high,341.83,,buy_stop_reclaim,oversold_bounce,previous_high,341.83,343.48,343.48,347.6,312.8,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,oversold_requires_break_above_signal_bar_high,8.0,8.0,0.0,0.0,0.0,3.43,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,open,1,2026-07-27,344.0,,,,0,,,0.9167,1.966,-0.0196,4.69,,,0.0,1.0,25,1,2026-07-31,,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,GOOGL,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,oversold_bounce,oversold_bounce,7.0,previous_high,324.18,,buy_stop_reclaim,oversold_bounce,previous_high,324.18,325.3,325.3,328.11,302.87,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,oversold_requires_break_above_signal_bar_high,8.0,8.0,0.0,0.0,0.0,2.12,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,open,1,2026-07-27,325.3,,,,0,,,0.9492,2.6384,-0.0383,6.58,,,0.0,1.0,25,1,2026-07-31,,
